City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
Hervey Bay,AU,76.26,broken clouds,-25.2986,152.8535,Hervey Bay Hotel
Sampit,ID,72.1,overcast clouds,-2.5333,112.95,Hotel Sultan
Fort Payne,US,68.61,scattered clouds,34.4442,-85.7197,Holiday Inn Express & Suites Fort Payne
Gwadar,PK,76.35,light rain,25.1216,62.3254,Sadaf Resorts
Lakes Entrance,AU,63.16,light rain,-37.8811,147.981,Banjo Patterson Motor Inn
Alta Floresta,BR,77.04,heavy intensity rain,-9.8756,-56.0861,Villas Hotel
Omboue,GA,78.24,overcast clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
Cape Town,ZA,64.09,light intensity drizzle,-33.9258,18.4232,Townhouse Hotel
Tarsus,TR,61.18,clear sky,36.9188,34.8784,Burhanoğlu Konağ
Bredasdorp,ZA,61.97,light rain,-34.5322,20.0403,Victoria Hotel
Danville,US,65.03,overcast clouds,36.586,-79.395,Holiday Inn Express Danville
Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,Le Baril
Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Grand Bel Air
Awassa,ET,60.73,light rain,7.05,38.4667,Lake View Hotel
Saint-Georges,GD,78.78,few clouds,12.0564,-61.7485,Deyna's City Inn
Saldanha,ZA,62.26,overcast clouds,-33.0117,17.9442,Hoedjesbaai
Hambantota,LK,77.18,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
Beloha,MG,63.34,clear sky,-25.1667,45.05,Hôtel Oliv
Castro,BR,68.5,light rain,-24.7911,-50.0119,Hotel Central Palace
Tabuk,PH,70.92,broken clouds,17.4189,121.4443,Davidson Hotel
Vaini,TO,79.45,scattered clouds,-21.2,-175.2,Keleti International Resort
Camocim,BR,78.22,moderate rain,-2.9022,-40.8411,Hotel Camocim
Conceicao Da Barra,BR,76.44,clear sky,-18.5933,-39.7322,Porto Marlin Hotel
Byron Bay,AU,68.7,light rain,-28.65,153.6167,Lord Byron Resort
Waycross,US,71.85,moderate rain,31.2136,-82.354,Holiday Inn Express & Suites
That Phanom,TH,75.16,scattered clouds,16.9364,104.7104,Pornnarumitr Hotel
Rawson,AR,68.83,broken clouds,-43.3002,-65.1023,Hotel Deportivo
Victoria,HK,67.19,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
